Date,Home,Away,Home_Score,Away_Score,Status,Home_ML,Away_ML,Home_Spread,Away_Spread,Total,game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,reason,active,athlete_jersey,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score,player_val,player_poss
11/2/2007,New Orleans Pelicans,Portland Trail Blazers,113,93,,275,-325,7.5,-7.5,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Minnesota Timberwolves,Denver Nuggets,91,99,,-375,315,-7.5,7.5,208.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Chicago Bulls,Philadelphia 76ers,85,96,,400,-500,9.5,-9.5,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,San Antonio Spurs,Sacramento Kings,96,80,,1200,-2000,14.5,-14.5,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Phoenix Suns,Los Angeles Lakers,98,119,,365,-435,8,-8,215.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Los Angeles Clippers,Golden State Warriors,120,114,,105,-125,1.5,-1.5,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Philadelphia 76ers,Brooklyn Nets,88,93,,-150,130,-3,3,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Washington Wizards,Orlando Magic,82,94,,110,-130,1,-1,197.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Memphis Grizzlies,Indiana Pacers,111,121,,180,-220,5.5,-5.5,211.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Milwaukee Bucks,Chicago Bulls,78,72,,-175,155,-4,4,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Houston Rockets,Portland Trail Blazers,89,80,,700,-1000,11.5,-11.5,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Dallas Mavericks,Sacramento Kings,123,102,,1500,-3000,15.5,-15.5,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2007,Utah Jazz,Golden State Warriors,133,110,,425,-550,9.5,-9.5,215.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Toronto Raptors,Boston Celtics,95,98,,105,-125,1.5,-1.5,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Los Angeles Clippers,Oklahoma City Thunder,115,101,,250,-300,6.5,-6.5,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,New York Knicks,Minnesota Timberwolves,97,93,,355,-425,9,-9,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Miami Heat,Charlotte Hornets,88,90,,140,-160,3.5,-3.5,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Detroit Pistons,Atlanta Hawks,92,91,,290,-350,8,-8,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Denver Nuggets,New Orleans Pelicans,88,93,,185,-215,5,-5,214.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Phoenix Suns,Cleveland Cavaliers,103,92,,290,-350,7.5,-7.5,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/2007,Los Angeles Lakers,Utah Jazz,119,109,,-105,-115,1,-1,205.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/2007,Dallas Mavericks,Houston Rockets,107,98,,170,-200,4.5,-4.5,189.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Charlotte Hornets,Phoenix Suns,83,115,,-195,165,-4,4,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Brooklyn Nets,Atlanta Hawks,87,82,,160,-190,4,-4,188.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,New York Knicks,Denver Nuggets,119,112,,-160,140,-3,3,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Minnesota Timberwolves,Orlando Magic,103,111,,-300,250,-6.5,6.5,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Milwaukee Bucks,Toronto Raptors,112,85,,-160,140,-3,3,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Houston Rockets,San Antonio Spurs,89,81,,-135,115,-2,2,183.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Chicago Bulls,Los Angeles Clippers,91,97,,335,-405,8.5,-8.5,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Sacramento Kings,Oklahoma City Thunder,104,98,,110,-130,2,-2,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Golden State Warriors,Cleveland Cavaliers,104,108,,115,-135,2,-2,209.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/2007,Los Angeles Lakers,New Orleans Pelicans,104,118,,135,-155,3,-3,205.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Toronto Raptors,Orlando Magic,96,105,,170,-200,4,-4,191.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Atlanta Hawks,Phoenix Suns,105,96,,-230,190,-5,5,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Indiana Pacers,Los Angeles Clippers,89,104,,240,-290,6.5,-6.5,207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Philadelphia 76ers,Charlotte Hornets,94,63,,165,-195,4,-4,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Boston Celtics,Denver Nuggets,119,93,,245,-295,6.5,-6.5,202.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,San Antonio Spurs,Miami Heat,88,78,,800,-1200,11.5,-11.5,180.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Utah Jazz,Cleveland Cavaliers,103,101,,400,-500,9,-9,194.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Oklahoma City Thunder,Memphis Grizzlies,98,105,,-110,-110,0,0,218.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2007,Portland Trail Blazers,New Orleans Pelicans,93,90,,-145,125,-2.5,2.5,201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2007,Brooklyn Nets,Washington Wizards,87,85,,235,-275,6,-6,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2007,Chicago Bulls,Detroit Pistons,97,93,,100,-120,1,-1,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2007,Golden State Warriors,Dallas Mavericks,115,120,,-325,275,-7.5,7.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Philadelphia 76ers,Toronto Raptors,103,105,,-130,110,-2,2,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Charlotte Hornets,Indiana Pacers,96,87,,105,-125,1.5,-1.5,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Boston Celtics,Atlanta Hawks,106,83,,360,-430,8.5,-8.5,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,New York Knicks,Orlando Magic,102,112,,-105,-115,1,-1,201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Miami Heat,Phoenix Suns,101,106,,-375,315,-8,8,195.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Detroit Pistons,Los Angeles Clippers,103,79,,315,-375,8,-8,191.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,New Orleans Pelicans,San Antonio Spurs,85,97,,-165,145,-3.5,3.5,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Washington Wizards,Denver Nuggets,92,118,,-130,110,-2,2,209.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Houston Rockets,Milwaukee Bucks,104,88,,395,-475,9,-9,188.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Portland Trail Blazers,Memphis Grizzlies,110,98,,120,-140,2.5,-2.5,208.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Oklahoma City Thunder,Utah Jazz,101,103,,-290,240,-6.5,6.5,211.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Los Angeles Lakers,Minnesota Timberwolves,107,93,,600,-800,11,-11,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2007,Sacramento Kings,Cleveland Cavaliers,91,93,,-245,205,-5.5,5.5,192.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Indiana Pacers,Denver Nuggets,106,113,,-125,105,-1.5,1.5,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Orlando Magic,Phoenix Suns,96,106,,-125,105,-1.5,1.5,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Brooklyn Nets,Boston Celtics,101,112,,-150,130,-3,3,182.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Chicago Bulls,Toronto Raptors,71,101,,220,-260,6.5,-6.5,189.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Utah Jazz,Memphis Grizzlies,118,94,,475,-600,10,-10,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Sacramento Kings,Minnesota Timberwolves,100,93,,170,-200,4.5,-4.5,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2007,Portland Trail Blazers,Dallas Mavericks,91,82,,-350,290,-7.5,7.5,201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,Atlanta Hawks,Washington Wizards,90,101,,190,-230,5.5,-5.5,192.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,Charlotte Hornets,Houston Rockets,82,85,,-275,235,-6.5,6.5,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,Philadelphia 76ers,New Orleans Pelicans,72,93,,-150,130,-3,3,190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,New York Knicks,Miami Heat,72,75,,130,-150,3,-3,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,San Antonio Spurs,Milwaukee Bucks,113,88,,550,-700,10.5,-10.5,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,Oklahoma City Thunder,Detroit Pistons,103,107,,-275,235,-6.5,6.5,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2007,Los Angeles Clippers,Cleveland Cavaliers,95,103,,-110,-110,-1,1,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2007,Brooklyn Nets,New Orleans Pelicans,82,84,,-130,110,-2,2,184.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2007,Denver Nuggets,Cleveland Cavaliers,122,100,,285,-335,7.5,-7.5,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2007,Utah Jazz,Sacramento Kings,117,93,,1050,-1700,14,-14,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Orlando Magic,Oklahoma City Thunder,103,76,,525,-650,10.5,-10.5,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Charlotte Hornets,Miami Heat,91,76,,105,-125,1.5,-1.5,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Indiana Pacers,Boston Celtics,86,101,,-300,250,-7,7,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Memphis Grizzlies,Houston Rockets,105,99,,-270,230,-6.5,6.5,201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Dallas Mavericks,Philadelphia 76ers,99,84,,600,-800,11,-11,192.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,San Antonio Spurs,Los Angeles Lakers,107,92,,305,-365,8,-8,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Phoenix Suns,New York Knicks,113,102,,900,-1400,13,-13,210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2007,Portland Trail Blazers,Detroit Pistons,102,94,,-230,190,-5,5,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Washington Wizards,Indiana Pacers,103,90,,200,-240,5.5,-5.5,200.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Cleveland Cavaliers,Orlando Magic,116,117,,130,-150,3,-3,190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Toronto Raptors,Utah Jazz,88,92,,-110,-110,0,0,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Atlanta Hawks,Charlotte Hornets,117,109,,200,-240,5.5,-5.5,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Miami Heat,Oklahoma City Thunder,95,104,,240,-290,7,-7,191.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Boston Celtics,Brooklyn Nets,91,69,,525,-650,10,-10,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Minnesota Timberwolves,Sacramento Kings,108,103,,110,-130,2,-2,190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Milwaukee Bucks,Memphis Grizzlies,102,99,,220,-260,6.5,-6.5,206.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,New Orleans Pelicans,Philadelphia 76ers,95,76,,370,-450,8.5,-8.5,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Denver Nuggets,Portland Trail Blazers,110,93,,550,-700,11,-11,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Houston Rockets,Los Angeles Lakers,90,93,,240,-290,6.5,-6.5,199.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Los Angeles Clippers,New York Knicks,84,81,,275,-325,7.5,-7.5,200.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2007,Golden State Warriors,Detroit Pistons,104,111,,-120,100,-1,1,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2007,Dallas Mavericks,San Antonio Spurs,105,92,,105,-125,1.5,-1.5,189.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2007,Phoenix Suns,Chicago Bulls,112,102,,355,-425,8.5,-8.5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2007,Philadelphia 76ers,Portland Trail Blazers,92,88,,130,-150,3,-3,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2007,Toronto Raptors,Indiana Pacers,110,101,,285,-335,7.5,-7.5,195.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2007,Boston Celtics,Miami Heat,92,91,,525,-650,10,-10,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2007,Brooklyn Nets,Orlando Magic,70,95,,-170,150,-3.5,3.5,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2007,Cleveland Cavaliers,Utah Jazz,99,94,,105,-125,1.5,-1.5,199.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2007,Atlanta Hawks,Oklahoma City Thunder,123,126,,235,-275,6,-6,204.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
